LONPS,LATPS,LONPE,LATPE,SURV,DIR,DIV
24,54.9,24.5,55,340000,A,1
24.5,55,25.5,54.5,340000,A,1
25.5,54.5,26,54.7,340000,A,1
26,54.7,27,54.8,320000,A,1
27,54.8,28,54.9,300000,A,1
28,54.9,28.5,55,280000,A,1
28.5,55,29,55.1,240000,A,1
29,55.1,30,55.2,210000,A,1
30,55.2,30.3,55.3,180000,A,1
30.3,55.3,32,54.8,175000,A,1
32,54.8,33.2,54.9,145000,A,1
33.2,54.9,34.4,55.5,140000,A,1
34.4,55.5,35.5,55.4,127100,A,1
35.5,55.4,36,55.5,100000,A,1
36,55.5,37.6,55.8,100000,A,1
37.6,55.8,37.5,55.7,100000,R,1
37.5,55.7,37,55,98000,R,1
37,55,36.8,55,97000,R,1
36.8,55,35.4,55.3,96000,R,1
35.4,55.3,34.3,55.2,87000,R,1
34.3,55.2,33.3,54.8,55000,R,1
33.3,54.8,32,54.6,37000,R,1
32,54.6,30.4,54.4,24000,R,1
30.4,54.4,29.2,54.4,20000,R,1
29.2,54.4,28.5,54.3,20000,R,1
28.5,54.3,28.3,54.4,20000,R,1
,,,,,,
24,55.1,24.5,55.2,60000,A,2
24.5,55.2,25.5,54.7,60000,A,2
25.5,54.7,26.6,55.7,60000,A,2
26.6,55.7,27.4,55.6,40000,A,2
27.4,55.6,28.7,55.5,33000,A,2
28.7,55.5,29.2,54.3,30000,R,2
29.2,54.3,28.5,54.2,30000,R,2
28.5,54.2,28.3,54.3,30000,R,2
28.3,54.3,27.5,54.5,28000,R,2
27.5,54.5,26.8,54.3,20000,R,2
26.8,54.3,26.4,54.4,12000,R,2
26.4,54.4,24.6,54.5,14000,R,2
24.6,54.5,24.4,54.4,8000,R,2
24.4,54.4,24.2,54.4,4000,R,2
24.2,54.4,24.1,54.3,4000,R,2
,,,,,,
24,55.2,24.5,55.3,22000,A,3
24.5,55.3,24.6,55.8,22000,A,3
24.6,55.8,24.2,54.4,6000,R,3
24.2,54.4,24.1,54.3,6000,R,3
24.1,54.3,24.1,54.3,6000,R,3
